,winery,wine,year,rating,num_reviews,country,region,type,body,acidity,price_predicted
0,Teso La Monja,Tinto,2013,4.9,58,Espana,Toro,Toro Red,5.0,3.0,58.44880161864717
1,Artadi,Vina El Pison,2018,4.9,31,Espana,Vino de Espana,Tempranillo,4.0,2.0,64.58309738540629
2,Vega Sicilia,Unico,2009,4.8,1793,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,47.34053042873256
3,Vega Sicilia,Unico,1999,4.8,1705,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,75.05707224708522
4,Vega Sicilia,Unico,1996,4.8,1309,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,53.98531154720263
5,Vega Sicilia,Unico,1998,4.8,1209,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,62.55425587119089
6,Vega Sicilia,Unico,2010,4.8,1201,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,53.21805610011256
7,Vega Sicilia,Unico,1995,4.8,926,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,59.1839071453237
8,Vega Sicilia,Unico Reserva Especial Edicion,2015,4.8,643,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,61.43689410271463
9,Vega Sicilia,Unico,2011,4.8,630,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,54.627632595610294
10,Vega Sicilia,Unico Reserva Especial Edicion,2016,4.8,591,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,57.8027558146764
11,Pago de Carraovejas,El Anejon,2016,4.8,454,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,50.68847157391065
12,Vega Sicilia,Unico Reserva Especial Edicion,2018,4.8,438,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,62.581401783548245
13,Vega Sicilia,Unico,1970,4.8,417,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,57.54603789434077
14,Toro Albala,Don PX Convento Seleccion,1946,4.8,398,Espana,Montilla-Moriles,Pedro Ximenez,5.0,1.0,62.67576278914885
15,Pago de Carraovejas,Cuesta de Las Liebres,2015,4.8,372,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,49.865970794684245
16,Vega Sicilia,Unico,1962,4.8,295,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,47.9323320862668
17,Vega Sicilia,Unico Reserva Especial Edicion,2019,4.8,250,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,59.20217056576257
18,Bodegas El Nido,El Nido,2018,4.8,217,Espana,Jumilla,Red,4.0,3.0,57.54603789434077
19,Vega Sicilia,Unico Reserva Especial Edicion,2004,4.8,211,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,63.28174878533764
20,Valdespino,Toneles Moscatel,2017,4.8,174,Espana,Jerez-Xeres-Sherry,Sherry,4.0,3.0,61.24208428470047
21,Vega Sicilia,Unico Reserva Especial Edicion,2013,4.8,172,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,60.136898129850124
22,Dominio de Pingus,Pingus,2016,4.8,145,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,61.36992822777211
23,Toro Albala,Don PX Convento Seleccion,1931,4.8,139,Espana,Montilla-Moriles,Pedro Ximenez,5.0,1.0,42.38348699847984
24,Vega Sicilia,Unico Reserva Especial Edicion,2010,4.8,125,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,58.39885929368438
25,Vega Sicilia,Unico,1979,4.8,118,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,49.51327564071153
26,Toro Albala,Don PX Pedro Ximenez,1946,4.8,103,Espana,Montilla-Moriles,Pedro Ximenez,5.0,1.0,51.21758232110574
27,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2004,4.8,87,Espana,Priorato,Priorat Red,4.0,3.0,47.18139641305288
28,Vega Sicilia,Unico Reserva Especial Edicion,2005,4.8,87,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,61.17511840975794
29,Vega Sicilia,Unico Reserva Especial Edicion,2020,4.8,84,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,40.62081770783152
30,Ordonez,Vatan Arena Tinta de Toro,2014,4.8,79,Espana,Toro,Toro Red,5.0,3.0,35.21722631771354
31,Vega Sicilia,Unico Reserva Especial Edicion,1985,4.8,70,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,37.47901095575071
32,Toro Albala,Don PX Convento Seleccion,1929,4.8,69,Espana,Montilla-Moriles,Pedro Ximenez,5.0,1.0,46.41051118738346
33,Bodegas Valduero,Ribera Del Duero Gran Reserva 12 Anos,1999,4.8,68,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,40.63628644316441
34,Vina Sastre,Pesus Ribera del Duero,2007,4.8,68,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,60.87681587592351
35,Teso La Monja,Tinto,2012,4.8,56,Espana,Toro,Toro Red,5.0,3.0,45.96029271045609
36,Dominio de Pingus,Pingus,2017,4.8,52,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,44.946672876100365
37,Teso La Monja,Tinto,2009,4.8,50,Espana,Toro,Toro Red,5.0,3.0,49.41534228617297
38,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2008,4.8,40,Espana,Priorato,Priorat Red,4.0,3.0,42.423306961064554
39,Sierra Cantabria,Magico,2016,4.8,40,Espana,Rioja,Rioja Red,4.0,3.0,61.558401020673045
40,Teso La Monja,Tinto,2011,4.8,32,Espana,Toro,Toro Red,5.0,3.0,39.93018566413548
41,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2017,4.8,31,Espana,Priorato,Priorat Red,4.0,3.0,55.31124098267742
42,Teso La Monja,Tinto,2015,4.8,28,Espana,Toro,Toro Red,5.0,3.0,57.82904753643129
43,Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2017,4.8,26,Espana,Bierzo,Red,4.0,3.0,47.5248864820951
44,La Rioja Alta,Gran Reserva 890,1985,4.8,26,Espana,Rioja,Rioja Red,4.0,3.0,53.0765174457249
45,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2018,4.8,26,Espana,Priorato,Priorat Red,4.0,3.0,46.40752471361884
46,Vega Sicilia,Unico Reserva Especial Edicion,2017,4.7,12421,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,45.29016294514304
47,Vega Sicilia,Valbuena 5o,2010,4.7,5266,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,42.70553893932379
48,Vega Sicilia,Valbuena 5o,2014,4.7,4350,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,41.58817717084753
49,Vega Sicilia,Valbuena 5o,2006,4.7,3929,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,40.47081540237127
50,Vega Sicilia,Unico,2005,4.7,3437,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,61.4429085348163
51,Vega Sicilia,Unico,2004,4.7,3164,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,51.9591556772491
52,Vega Sicilia,Unico,2000,4.7,3127,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,47.18054537450962
53,Vega Sicilia,Unico,2007,4.7,2935,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,53.0765174457249
54,Vega Sicilia,Valbuena 5o,2015,4.7,2826,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,39.35345363389547
55,Vega Sicilia,Unico,2006,4.7,2765,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,49.23807565440802
56,Vega Sicilia,Unico,2008,4.7,2480,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,56.91562729618886
57,Vega Sicilia,Unico,2003,4.7,2419,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,46.06318360603382
58,Vega Sicilia,Valbuena 5o,2016,4.7,2177,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,42.4154596475239
59,Vega Sicilia,Valbuena 5o,2005,4.7,1892,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,58.03298906466512
60,Vega Sicilia,Unico,2002,4.7,1199,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,57.90210121818677
61,Vega Sicilia,Unico,1991,4.7,1141,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,48.87041020170318
62,Vega Sicilia,Unico,1994,4.7,940,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,46.830496482765284
63,Vega Sicilia,Unico Reserva Especial Edicion,2000,4.7,935,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,49.98777197017944
64,Vega Sicilia,Unico,1990,4.7,690,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,41.298097879047646
65,Pago de Carraovejas,Cuesta de Las Liebres,2014,4.7,685,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,26.248534448529654
66,Vega Sicilia,Unico,1989,4.7,675,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,44.94582183755756
67,Vega Sicilia,Unico,1987,4.7,593,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,32.446702406510894
68,Vega Sicilia,Unico Reserva Especial Edicion,2017,4.7,560,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,47.72236018086187
69,Pago de Carraovejas,El Anejon,2015,4.7,543,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,56.784739449710514
70,Bodegas El Nido,El Nido,2014,4.7,511,Espana,Jumilla,Red,4.0,3.0,55.798265527713056
71,Bodegas El Nido,El Nido,2013,4.7,476,Espana,Jumilla,Red,4.0,3.0,38.23609186541921
72,Vega Sicilia,Unico Reserva Especial Edicion,1996,4.7,442,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,43.23489890481915
73,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Blanco,1986,4.7,425,Espana,Rioja,Rioja White,3.0,3.0,54.46174271397081
74,Bodegas El Nido,El Nido,2016,4.7,393,Espana,Jumilla,Red,4.0,3.0,61.18417674526631
75,Bodegas El Nido,El Nido,2008,4.7,347,Espana,Jumilla,Red,4.0,3.0,54.52566468550663
76,Vinedos de Paganos,La Nieta,2015,4.7,312,Espana,Rioja,Rioja Red,4.0,3.0,53.37177607615308
77,Vega Sicilia,Unico,1981,4.7,308,Espana,Ribera del Duero,Ribera Del Duero Red,5.0,3.0,60.066814976790056
